Unnamed: 0.1,Unnamed: 0,Username,Text,Date Created,Number of Likes,Number of Retweet,Number of Replies,Source of Tweet,User ID,Conversation ID,status,Category,translated,translated cleaned,sentiment Scores,sentiment,sentiment_label,SVM Predicted Label
7989,7989,SanuriZulkefli,@altimet @pentas_io Fulamak! Cantik la brader @altimet !,2021-10-11 09:21:58+00:00,2,0,0,Twitter Web App,1447492662475440132,1447491388589973504,reply,Celebrity,@altimet @pentas_io Fulamak! It's beautiful brother @altimet!,fulamak beautiful brother,"{'neg': 0.0, 'neu': 0.339, 'pos': 0.661, 'compound': 0.5994}",0.5994,Positive,1.0
7999,7999,MaNameNFT,@altimet @pentas_io Nice 🔥🚀,2021-10-11 09:30:56+00:00,2,0,0,Twitter for Android,1447494919723966468,1447491388589973504,reply,Celebrity,@altimet @pentas_io Nice 🔥🚀,nice,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",0.4215,Positive,
8000,8000,jayjayckz,@altimet @pentas_io Be in full control of your own work bro. Congrats!,2021-10-11 09:32:31+00:00,3,1,0,Twitter for iPhone,1447495317247692801,1447491388589973504,reply,Celebrity,@altimet @pentas_io Be in full control of your own work bro. Congrats!,control work bro congrats,"{'neg': 0.0, 'neu': 0.469, 'pos': 0.531, 'compound': 0.5267}",0.5267,Positive,1.0
8006,8006,PakLangChoi,"@altimet @pentas_io Selamat datang
Aku Pak Lang
Laman masih lapang
Sini aku buka ruang 

Mari jemput tengok
Boleh beli mana yang elok

Pandai beli
Pandai jaga
Pandai flip
Aku panggil kau geliga! 

https://t.co/hrPnYsSFJ3

https://t.co/zejAqg3xRq",2021-10-11 09:44:28+00:00,9,2,0,Twitter for iPhone,1447498326425759747,1447491388589973504,reply,Celebrity,"@altimet @pentas_io Welcome
I'm Mr. Lang
The site is still empty
Here I open the space

Let's take a look
You can buy any good one

Good buy
Careful
Good at flipping
I call you excited!

https://t.co/hrPnYsSFJ3

https://t.co/zejAqg3xRq",lang site open space buy good good buy careful good flipping excited,"{'neg': 0.0, 'neu': 0.35, 'pos': 0.65, 'compound': 0.8999}",0.8999,Positive,
8012,8012,jeremhowaa,@altimet @pentas_io Wahhhh! tak sangkanya~ 🥳🥳🥳👏🏻👏🏻👏🏻,2021-10-11 10:11:38+00:00,1,0,0,Twitter for Android,1447505161446780932,1447491388589973504,reply,Celebrity,@altimet @pentas_io Wow! I don't think so~ 🥳🥳🥳👏🏻👏🏻👏🏻,wow,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5859}",0.5859,Positive,
8013,8013,Fidonym,"@altimet @pentas_io Welcome bang, sy produce lagu rap juga bang utk nft saya, manatau boleh collab same vibes (Cubaan promote diri sndiri ) 😂",2021-10-11 10:28:45+00:00,5,1,0,Twitter for Android,1447509468325941253,1447491388589973504,reply,Celebrity,"@altimet @pentas_io Welcome bro, I also produce a rap song for my nft, can you collab same vibes (Try to promote yourself) 😂",bro produce rap song nft collab vibes promote,"{'neg': 0.0, 'neu': 0.729, 'pos': 0.271, 'compound': 0.3818}",0.3818,Positive,
8031,8031,GHIDORAH_DC,@altimet @pentas_io 😍 this is so exciting!!! 😍 https://t.co/KIWeHFCrTy,2021-10-11 10:38:08+00:00,1,0,0,Twitter for iPhone,1447511830662770693,1447491388589973504,reply,Celebrity,@altimet @pentas_io 😍 this is so exciting!!! 😍 https://t.co/KIWeHFCrTy,exciting,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4939}",0.4939,Positive,
8035,8035,SpookyDubuk,@altimet @pentas_io Welcome Sir. Mantap 👍,2021-10-11 11:05:09+00:00,1,0,0,Twitter for Android,1447518629545725952,1447491388589973504,reply,Celebrity,@altimet @pentas_io Welcome Sir. Great 👍,sir great,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",0.6249,Positive,
8036,8036,SinisterSanzo,@altimet @pentas_io Yayyyyy...omg im excited his first mint,2021-10-11 11:05:23+00:00,1,0,0,Twitter for Android,1447518687049568257,1447491388589973504,reply,Celebrity,@altimet @pentas_io Yayyyyy...omg im excited his first mint,yayyyyyomg excited mint,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}",0.34,Positive,
8037,8037,meetfauzanhere,@altimet @pentas_io Terbaikkk. kalut awal2 takpe.,2021-10-11 11:05:59+00:00,1,0,0,Twitter Web App,1447518840607305728,1447491388589973504,reply,Celebrity,@altimet @pentas_io The best. Don't be confused early on.,dont confused early,"{'neg': 0.0, 'neu': 0.505, 'pos': 0.495, 'compound': 0.2411}",0.2411,Positive,
8038,8038,PunkKorq,"@altimet @pentas_io One question, sir. Why no one called you Kratos? This is not fair, sir.",2021-10-11 11:13:03+00:00,2,0,0,Twitter for iPhone,1447520617624788995,1447491388589973504,reply,Celebrity,"@altimet @pentas_io One question, sir. Why no one called you Kratos? This is not fair, sir.",question sir called kratos fair sir,"{'neg': 0.0, 'neu': 0.685, 'pos': 0.315, 'compound': 0.3182}",0.3182,Positive,
8041,8041,Alansharkawi89,"@altimet @pentas_io Selamat datang, jemput2 duduk makan kuih.",2021-10-11 11:40:13+00:00,0,0,0,Twitter for Android,1447527454306811909,1447491388589973504,reply,Celebrity,"@altimet @pentas_io Welcome, invite to sit and eat cake.",invite sit eat cake,"{'neg': 0.0, 'neu': 0.652, 'pos': 0.348, 'compound': 0.1531}",0.1531,Positive,
8046,8046,vastyearth,@altimet @pentas_io Mantapp 👍👍👍,2021-10-12 01:08:39+00:00,0,0,0,Twitter for Android,1447730901656354816,1447491388589973504,reply,Celebrity,@altimet @pentas_io Awesome 👍👍👍,awesome,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6249}",0.6249,Positive,
8047,8047,AlongOfficiaI,@altimet @pentas_io Aku dah kalut bro. Semua letak artwork gempak2. Aku baru 1 ja.,2021-10-12 05:42:14+00:00,0,0,0,Twitter for Android,1447799752108642310,1447491388589973504,reply,Celebrity,@altimet @pentas_io I'm confused bro. All the artwork is great. I'm only 1.,confused bro artwork great,"{'neg': 0.274, 'neu': 0.238, 'pos': 0.488, 'compound': 0.4215}",0.4215,Positive,1.0
8051,8051,faisal_twitx,"@altimet Tp kalau PRU pun, org politik still boleh lompat parti, so what’s the point then?",2021-08-02 06:53:23+00:00,8,0,1,Twitter for iPhone,1422088118082048006,1422042040288923650,reply,Celebrity,"@altimet But even if it's a general election, politicians can still jump parties, so what's the point then?",general election politicians jump parties point,"{'neg': 0.0, 'neu': 0.649, 'pos': 0.351, 'compound': 0.4019}",0.4019,Positive,
8052,8052,YeopAzrul,@altimet Ketaasuban dan sentimen agama perkauman sempit amat tebal. Pray for malaysia.,2021-08-02 10:09:55+00:00,0,0,1,Twitter for Android,1422137580695408646,1422042040288923650,reply,Celebrity,@altimet Bigotry and narrow racial religious sentiments are very thick. Pray for Malaysia.,bigotry narrow racial religious sentiments thick pray malaysia,"{'neg': 0.0, 'neu': 0.753, 'pos': 0.247, 'compound': 0.3182}",0.3182,Positive,1.0
8054,8054,21setanmerah,"@altimet @SyedSaddiq Nnt diorang lompat jugak, penat.",2021-08-02 04:04:44+00:00,10,1,0,Twitter for iPhone,1422045678671335428,1422042040288923650,reply,Celebrity,"@altimet @SyedSaddiq I'm not going to jump, I'm tired.",jump tired,"{'neg': 0.744, 'neu': 0.256, 'pos': 0.0, 'compound': -0.4404}",-0.4404,Negative,
8055,8055,ibnujang,@altimet @SyedSaddiq Mohon nasihat ramai kawan artis yang benak tu,2021-08-02 04:06:19+00:00,13,0,0,Twitter for Android,1422046077922906112,1422042040288923650,reply,Celebrity,@altimet @SyedSaddiq Ask for the advice of many talented artist friends,advice talented artist friends,"{'neg': 0.0, 'neu': 0.238, 'pos': 0.762, 'compound': 0.7506}",0.7506,Positive,
8058,8058,Reizki9,@altimet @SyedSaddiq Terus berjuang saudara altimet,2021-08-02 04:08:41+00:00,0,0,0,Twitter for Android,1422046671878328325,1422042040288923650,reply,Celebrity,@altimet @SyedSaddiq Keep fighting brother altimet,fighting brother altimet,"{'neg': 0.556, 'neu': 0.444, 'pos': 0.0, 'compound': -0.3612}",-0.3612,Negative,
8059,8059,Im_FarahFendi,"@altimet Ya betul.. Kena fikir betul² jgn salah tanda lagi.. Jd kan pengalaman lepas sbg pengajaran... Soalnya siap yg layak jadi PM? 🇲🇾... I x nmpk sapa pun yg layak.. Mari lh buat solat hajat, Solat istoqaroh.. ... Huh",2021-08-02 04:30:07+00:00,20,4,0,Twitter for Android,1422052066965393420,1422042040288923650,reply,Celebrity,"@altimet Yes, you're right.. You have to think about it, don't miss the mark again.. It's past experience as a lesson... The question is, who is ready to be a PM? 🇲🇾... I don't see anyone who is worthy.. Let's do the wish prayer, the istoqaroh prayer.. ... Huh",mark experience lesson question ready worthy prayer istoqaroh prayer huh,"{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.6597}",0.6597,Positive,
8061,8061,Superso05013768,@altimet Pengalaman mengajar kita matang dan lebih faham..jangan ulangi kesilapan,2021-08-02 04:43:26+00:00,1,0,0,Twitter for Android,1422055416708550665,1422042040288923650,reply,Celebrity,@altimet Experience teaches us to mature and understand better..don't repeat mistakes,experience teaches mature understand betterdont repeat mistakes,"{'neg': 0.243, 'neu': 0.485, 'pos': 0.272, 'compound': 0.0772}",0.0772,Positive,1.0
8062,8062,ohw4ni,"@altimet Waktu PRU masing2 mula turun padang,PEDULI rakyat.
Dapat kuasa 👉🏻 ABAI rakyat.",2021-08-02 04:53:04+00:00,1,0,0,Twitter Web App,1422057839091093510,1422042040288923650,reply,Celebrity,"@altimet It's time for the General Election to start taking the field, CARE about the people.
Get power 👉🏻 ABAI people.",time general election start field care people power abai people,"{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.4939}",0.4939,Positive,1.0
8063,8063,fhmiazz,@altimet @OleGunSolskja Pesan kt kawan kawan artis awak jugak. Tq,2021-08-02 04:57:51+00:00,18,0,1,Twitter for iPhone,1422059046652104715,1422042040288923650,reply,Celebrity,@altimet @OleGunSolskja Message your artist friends too. Thanks,message artist friends,"{'neg': 0.0, 'neu': 0.392, 'pos': 0.608, 'compound': 0.4767}",0.4767,Positive,
8064,8064,Muhammad_Alias,@altimet Tak jelas ni bro. Ramai tak faham.,2021-08-02 04:59:44+00:00,0,0,0,Twitter for iPhone,1422059517131452418,1422042040288923650,reply,Celebrity,@altimet It's not clear bro. Many do not understand.,clear bro understand,"{'neg': 0.0, 'neu': 0.435, 'pos': 0.565, 'compound': 0.3818}",0.3818,Positive,
8065,8065,itsbergies,"@altimet Jgn tgk kali ni je, tgk skali ketika pentadbiran. Kadang2 skang je jiwa rakyat, dpt kuasa trus jdi sampah. Mentadbir ekonomi pon kelaut. Tahu menyalahkan sedangkan dtg dri pentadbiran sendiri. 👌🏼",2021-08-02 05:13:08+00:00,28,5,0,Twitter for Android,1422062891260256256,1422042040288923650,reply,Celebrity,"@altimet Don't see it this time, never see it during the administration. Sometimes the soul of the people, gets power and then becomes trash. Administering the economy of the ocean. Know how to blame when it comes from the administration itself. 👌🏼",dont time administration soul people power trash administering economy ocean blame administration,"{'neg': 0.179, 'neu': 0.821, 'pos': 0.0, 'compound': -0.34}",-0.34,Negative,
8066,8066,Dillfauzi,@altimet @anyel__danial Tapi still ramai artis yang sanjung dan junjung kerajaan PNipu ni,2021-08-02 05:13:55+00:00,2,0,1,Twitter for iPhone,1422063087499108355,1422042040288923650,reply,Celebrity,@altimet @anyel__danial But there are still many artists who flatter and respect this PNipu government,artists flatter respect pnipu government,"{'neg': 0.0, 'neu': 0.4, 'pos': 0.6, 'compound': 0.5423}",0.5423,Positive,
8067,8067,bijakker,@altimet Dapat kain batik selai kain pelekat selai lupa segala.,2021-08-02 05:24:00+00:00,0,0,0,Twitter for Android,1422065627187978240,1422042040288923650,reply,Celebrity,@altimet Get jam batik cloth jam sticker cloth forget everything.,jam batik cloth jam sticker cloth forget,"{'neg': 0.241, 'neu': 0.759, 'pos': 0.0, 'compound': -0.2263}",-0.2263,Negative,
8071,8071,izharuLLICA74,@altimet Need more younger generation..above 21..to understand the struggle and translate in peti undi..PRU15..kasi masuk longkang,2021-08-02 06:00:50+00:00,0,0,0,Twitter for Android,1422074895421251585,1422042040288923650,reply,Celebrity,@altimet Need more younger generation..above 21..to understand the struggle and translate in peti undi..PRU15..kasi masuk longkang,younger generationabove understand struggle translate peti undipru kasi masuk longkang,"{'neg': 0.204, 'neu': 0.796, 'pos': 0.0, 'compound': -0.3182}",-0.3182,Negative,
8072,8072,onlajer,"@altimet Pastikan parlimen dengan DUN sama2 parti, kalau tak banyak songeh woo nak dapat bantuan.",2021-08-02 06:02:23+00:00,9,0,0,Twitter Web App,1422075283608244231,1422042040288923650,reply,Celebrity,"@altimet Make sure that the parliament and the state assembly are of the same party, if there aren't a lot of people who want to get help.",parliament state assembly party lot people,"{'neg': 0.0, 'neu': 0.649, 'pos': 0.351, 'compound': 0.4019}",0.4019,Positive,
8073,8073,afzivaris,"@altimet Kami dh letak pendirian kami PRU14 lepas.

Kawan baik saudara yg saudara support skrg la yg khianat pendirian kami atas sbb rakus nk jadi PM semasa 22 bulan PH perintah.

Owh lupa masa tu saudara tgh masyuukk dgn job 😆",2021-08-02 06:11:29+00:00,2,0,0,Twitter for iPhone,1422077574767808515,1422042040288923650,reply,Celebrity,"@altimet We already put our stand in the last GE14.

My good friend, the one you support now, is the one who betrayed our position because he was greedy to become PM during the 22 months of PH's order.

Oh, I forgot that time, you were busy with your job 😆",stand good friend support betrayed position greedy months phs order forgot time busy job,"{'neg': 0.261, 'neu': 0.373, 'pos': 0.365, 'compound': 0.3612}",0.3612,Positive,1.0
8074,8074,ifahmiDLYD,@altimet Macam mana nak pastikan kalau menang nanti mereka tak melompat bila dah dijanji habuan jutaan ringgit??,2021-08-02 06:37:14+00:00,0,0,0,Twitter for Android,1422084053860114440,1422042040288923650,reply,Celebrity,"@altimet How do you make sure that if you win, they won't jump when you've been promised a reward of millions of ringgit??",win jump promised reward millions ringgit,"{'neg': 0.0, 'neu': 0.231, 'pos': 0.769, 'compound': 0.875}",0.875,Positive,
8075,8075,WANMH84,@altimet Yang penting tiada lagi lompat parti,2021-08-02 07:08:01+00:00,0,1,0,Twitter Web App,1422091800336998403,1422042040288923650,reply,Celebrity,@altimet The important thing is no more party jumping,thing party jumping,"{'neg': 0.0, 'neu': 0.426, 'pos': 0.574, 'compound': 0.4019}",0.4019,Positive,
8077,8077,kamaruchan69,@altimet Pru pun  depa dah jaga baik2 dah kawasan. Contoh padang rengas .,2021-08-02 08:34:27+00:00,0,0,0,Twitter for Android,1422113553956302859,1422042040288923650,reply,Celebrity,@altimet Pru has already taken good care of the area. An example of a dry field.,pru good care area dry field,"{'neg': 0.0, 'neu': 0.396, 'pos': 0.604, 'compound': 0.7269}",0.7269,Positive,
8080,8080,xjamei,@altimet Soalnya ramai tidak megikut akal. hanya mengikut selera. Selera yang khayal dan men'cadu'kan,2021-08-02 12:02:51+00:00,0,0,0,Twitter Web App,1422166000137428994,1422042040288923650,reply,Celebrity,@altimet The problem is that many people do not follow common sense. just to taste. Imaginary and seductive taste,problem people follow common sense taste imaginary seductive taste,"{'neg': 0.252, 'neu': 0.748, 'pos': 0.0, 'compound': -0.4019}",-0.4019,Negative,
8082,8082,PuteriMinang,@altimet InShaaAllah. Kami akan ingat setiap pengkhianatan mereka,2021-08-02 12:15:25+00:00,0,0,0,Twitter for iPhone,1422169163926163458,1422042040288923650,reply,Celebrity,@altimet InshaAllah. We will remember their every betrayal,inshaallah remember betrayal,"{'neg': 0.655, 'neu': 0.345, 'pos': 0.0, 'compound': -0.5859}",-0.5859,Negative,
8083,8083,Faizal5932,@altimet Haha...,2021-08-02 13:34:38+00:00,0,0,0,Twitter for Android,1422189096894566407,1422042040288923650,reply,Celebrity,@altimet Haha...,haha,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4588}",0.4588,Positive,
8085,8085,Luqmanluqluq_,@altimet Bangkit! Kerana mengisi kemerdekaan itu lebih sengsara.,2021-08-02 14:02:38+00:00,0,0,0,Twitter for iPhone,1422196142700302341,1422042040288923650,reply,Celebrity,@altimet Get up! Because filling independence is more miserable.,filling independence miserable,"{'neg': 0.615, 'neu': 0.385, 'pos': 0.0, 'compound': -0.4939}",-0.4939,Negative,
8088,8088,sihatslalu,"@altimet Pru nanti aku undi diri aku sendiri, belah pN dn pH dua2 pishang, aku undi Syed Sadiq jelah. dia dh tuka parti sendiri kn",2021-08-02 22:22:07+00:00,0,0,0,Twitter for Android,1422321841515884565,1422042040288923650,reply,Celebrity,"@altimet Pru I'll vote for myself later, split pN and pH into two halves, I'll vote for Syed Sadiq. He threw his own party",pru ill vote split halves ill vote syed sadiq threw party,"{'neg': 0.344, 'neu': 0.491, 'pos': 0.166, 'compound': -0.4404}",-0.4404,Negative,
8089,8089,SixFLi1,"@altimet Dari dulu sampai sekarang, semua yg dipilih, asal masuk dewan begaduh, berengsek betul. Kita pilih dia org bukan utk begaduh..... Goblok betul",2021-08-02 23:58:51+00:00,0,0,0,Twitter for Android,1422346186032222208,1422042040288923650,reply,Celebrity,"@altimet From the past until now, all those who were elected, as long as they entered the council, were quarrelsome. We chose him not to fight..... It's really stupid",elected long entered council quarrelsome chose fight stupid,"{'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.7184}",-0.7184,Negative,
8091,8091,rahahahafiz,"@altimet Mantap brader, mantap.",2021-07-07 11:02:39+00:00,0,0,0,Twitter for iPhone,1412728763817680903,1412728494639955974,reply,Celebrity,"@altimet Great brother, great.",great brother great,"{'neg': 0.0, 'neu': 0.109, 'pos': 0.891, 'compound': 0.8481}",0.8481,Positive,1.0
8093,8093,KamalRezuan,@altimet May God bless u and team.,2021-07-07 11:06:25+00:00,0,0,0,Twitter for iPhone,1412729711810072580,1412728494639955974,reply,Celebrity,@altimet May God bless u and team.,god bless team,"{'neg': 0.0, 'neu': 0.169, 'pos': 0.831, 'compound': 0.5994}",0.5994,Positive,
8094,8094,bukhari1702,@altimet Ni baru real ikhlas.semoga amalan diterima Allah.,2021-07-07 11:14:00+00:00,0,0,0,Twitter for Android,1412731620956676100,1412728494639955974,reply,Celebrity,@altimet This is just real sincerity. May the practice be accepted by Allah.,real sincerity practice accepted allah,"{'neg': 0.0, 'neu': 0.656, 'pos': 0.344, 'compound': 0.2732}",0.2732,Positive,
8097,8097,ekhwanafiq,"@altimet Betul abg. Takperlu team besar pun. Alhamdulillah seorang diri pun boleh membantu orang lain dalam keadaan sekarang. Minta alamat, beli terus pos ke alamat. Tanpa gambar pun boleh sampai niat tu.

In sha allah rakyat akan jaga rakyat. https://t.co/VXNmnokTPF",2021-07-07 11:54:26+00:00,32,1,1,Twitter for iPhone,1412741796455600130,1412728494639955974,reply,Celebrity,"@altimet That's right bro. No need for a big team. Alhamdulillah even a single person can help others in the current situation. Ask for the address, buy direct mail to the address. Even without a picture, that intention can be reached.

In sha allah the people will take care of the people. https://t.co/VXNmnokTPF",bro big team alhamdulillah single person current situation address buy direct mail address picture intention reached sha allah people care people,"{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.5574}",0.5574,Positive,
8102,8102,azam1415,@altimet Rugi lah tokey sticker mcm ni 😩,2021-07-07 13:23:47+00:00,10,1,0,Twitter for iPhone,1412764283612504065,1412728494639955974,reply,Celebrity,@altimet It's a loss to key stickers like this 😩,loss key stickers,"{'neg': 0.535, 'neu': 0.465, 'pos': 0.0, 'compound': -0.3182}",-0.3182,Negative,
8104,8104,tuanmohdfadhli,@altimet semoga dipermudahkan segala urusan dan dimurahkan rezeki abg dan team abg,2021-07-07 16:03:35+00:00,7,0,0,Twitter for Android,1412804498335047683,1412728494639955974,reply,Celebrity,@altimet I hope all matters will be made easier and sustenance will be blessed for you and your team,hope matters easier sustenance blessed team,"{'neg': 0.0, 'neu': 0.157, 'pos': 0.843, 'compound': 0.8658}",0.8658,Positive,1.0
8105,8105,RumiPhenomenon,"@altimet X tweet lg padu bang. Letak, gerak, rehat. Sedap plak..buat lagu 1 bang",2021-07-07 16:47:10+00:00,101,5,1,Twitter for Android,1412815465072652292,1412728494639955974,reply,Celebrity,"@altimet X tweets are still good bro. Place, move, rest. Good record.. make 1 song bro",tweets good bro place rest good record song bro,"{'neg': 0.0, 'neu': 0.547, 'pos': 0.453, 'compound': 0.7003}",0.7003,Positive,1.0
8108,8108,hilmykhairil,@altimet respect masbro,2021-07-07 22:17:45+00:00,0,0,0,Twitter for iPhone,1412898660883435523,1412728494639955974,reply,Celebrity,@altimet respect masbro,respect masbro,"{'neg': 0.0, 'neu': 0.244, 'pos': 0.756, 'compound': 0.4767}",0.4767,Positive,
8110,8110,miezi_mikaeel,@altimet Tahniah bro @altimet …somoga apa yg anda lakukan dirahmati oleh Allah SWT….,2021-07-08 01:49:04+00:00,4,0,0,Twitter for iPhone,1412951838270263299,1412728494639955974,reply,Celebrity,@altimet Congratulations bro @altimet …may what you do be blessed by Allah SWT….,congratulations bro blessed allah swt,"{'neg': 0.0, 'neu': 0.278, 'pos': 0.722, 'compound': 0.8316}",0.8316,Positive,
8112,8112,ShofieZachariah,@altimet Salute ! https://t.co/VJ35d7FjlH,2021-07-08 03:31:11+00:00,0,0,0,Twitter for Android,1412977538628915200,1412728494639955974,reply,Celebrity,@altimet Cheers! https://t.co/VJ35d7FjlH,cheers,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4767}",0.4767,Positive,1.0
8114,8114,FaridHussar,"@altimet Bang nak tanya, ni smua PENGHIANAT NEGARA KE? JANJI SERATUS PERATUS.. https://t.co/3GOdbRfWKv",2021-07-08 05:02:32+00:00,0,0,0,Twitter for iPhone,1413000526262718467,1412728494639955974,reply,Celebrity,"@altimet I want to ask, are these all TRAITORS? ONE HUNDRED PERCENT PROMISE.. https://t.co/3GOdbRfWKv",traitors percent promise,"{'neg': 0.0, 'neu': 0.465, 'pos': 0.535, 'compound': 0.3182}",0.3182,Positive,1.0
